Goose_Player_ID,Goose_Species,Goose_Age,Goose_Weight_LBS,Wing_Span_Inches,Chronic_Disease,Injury_Level,Honk_Per_Minute,Speed_MPH,Eliminated,Eliminated_By,Final_Goose_Rank
46,Greylag Goose,3,7.8,45.3,,0,4.1,12.1,0,,1396
47,Canada Goose,7,11.9,64.7,,0,7.1,10.0,0,,4773
48,Greylag Goose,7,9.7,58.0,,1,4.6,8.0,0,,6493
49,Greylag Goose,7,9.4,43.5,,1,4.4,7.0,0,,7279
50,Canada Goose,5,11.3,7200.0,,1,3.4,9.4,0,,6304
51,Goosequid,2,14.9,91.5,Respiratory Issues,1,4.4,10.3,0,,4482
52,Greylag Goose,700,10.6,57.7,Lame,1,4.0,7.5,0,,7224
53,Snow Goose,4,7.4,,,0,360.0,13.2,0,,992
54,Snow Goose,2,9.708136462644767,95.9,,1,3.3,12.3,0,,3566
55,Player 456 Goose,8,10.0,55.0,,1,5.4,8.9,0,,5632
56,Snow Goose,900,4.3181818181818175,49.0,Heart Disease,10,3.6,6.0,0,,8248
57,Canada Goose,5,12.7,77.6,,0,5.2,11.1,0,,1722
58,Canada Goose,9,23.8,5800.0,,1,4.2,1.3,1,Wings Clipped by Red Light,9314
59,Canada Goose,5,1200.0,66.7,,0,3.6,10.8,0,,3243
60,Canada Goose,4,2390.0,53.8,Respiratory Issues,1,6.3,1.0,1,Sank in Squid Ink Swamp,9420
61,Canada Goose,4,12.2,72.3,,0,5.4,11.0,0,,1991
62,Canada Goose,8,11.1,62.7,,2,5.0,6.3,1,Wings Clipped by Red Light,8726
63,Snow Goose,three,6.4,35.7,,0,5.6,13.1,0,,521
64, Canada Goose ,6,12.1,69.7,,1,4.4,9.6,0,,5170
65,Canada Goose,4,11.1,63.7,,0,4.3,11.8,0,,1475
66, Greylag Goose ,4,8.2,44.4,,0,2.6,9.4,0,,5633
67,Canada Goose,7,10.1,51.3,,0,2.0,11.4,0,,4311
68, Snow Goose ,4,760.0,37.9,Respiratory Issues,2,530.0,9.3,0,,6560
69,Player 456 Goose,4,9.3,56.1,Heart Disease,1,6.0,10.0,0,,5171
70, Demon Goose ,7,12.0,74.3,,one,6.4,8.5,1,,8422
71,Greylag Goose,8,10.5,53.9,,2,3.8,5.5,0,,8294
72,Canada Goose,6,10.1,61.5,,1,21.9,5.3,1,,9938
73,Canada Goose,4,11.2,64.1,,0,5.9,12.4,0,,1111
74,Snow Goose,400,8.9,42.6,Respiratory Issues,1,6.3,12.4,0,,3027
75,Greylag Goose,5,9.4,58.3,,0,7.6,10.5,0,Eaten by a Squid,4774
76,Greylag Goose,six,,51.3,,1,4.1,10.0,0,,5105
77,Greylag Goose,3,10.9,62.6,,1,5.9,8.2,1,Sank in Squid Ink Swamp,8396
78,Squid Goose,6,9.9,55.1,,0,5.7,12.3,0,,1049
79,Canada Goose,5,23.0,72.3,,0,5.1,1.7,1,Eaten by a Squid,8940
80,Canada Goose,two,13.534969672258082,,,0,400.0,11.6,0,Caught by Front Man,1992
81,Snow Goose,3,8.1,38.4,,0,6.9,15.0,0,Eaten by a Squid,300
82,Greylag Goose,4,10.5,59.3,Respiratory Issues,2,5.7,8.2,0,,7509
83,Canada Goose,5,,66.8,,10,4.8,11.4,0,,1397
84,Canada Goose,9,,70.1,,1,5.6,7.3,0,,7096
85,Squid Goose,5,12.3,71.2,Lame,1,5.4,8.7,0,,5894
86,Canada Goose,3,1180.0,,,0,6.0,10.5,0,,3143
87,Greylag Goose,5,,59.1,Heart Disease,1,3.1,7.3,0,,7687
88,Greylag Goose,4,9.2,52.3,,0,3.6,10.0,0,,4147
89,Snow Goose,6,24.6,,,0,4.8,1.5,0,,8295
90,Canada Goose,six,,64.9,Respiratory Issues,1,509.99999999999994,8.6,0,,5634
91, Canada Goose ,7,19.8,75.2,Lame,1,7.2,0.2,1,Wings Clipped by Red Light,9583
92,Greylag Goose,5,4.7727272727272725,57.5,,0,2.8,8.7,0,,6191
93,Greylag Goose,8,10.0,,Heart Disease,3,5.2,5.5,0,,8384
94,Greylag Goose,7,10.4,54.8,,0,3.1,8.5,0,,6042
95,Greylag Goose,four,23.9,43.8,,0,5.4,0.8,1,Wings Clipped by Red Light,9117
96,Canada Goose,9,,,Respiratory Issues,2,1.2,6.5,0,,8538
97,Grëylag Goosë,6,9.0,46.0,,1,6.6,8.5,0,,6973
98,Canada Goose,3,11.3,67.5,,0,5.4,12.2,0,,993
99,Canada Goose,8,10.5,55.8,,1,5.1,8.4,0,,5824
100,Player 456 Goose,9,,78.3,,1,15.2,5.2,1,,9741
101,Canada Goose,5,11.4,71.4,Respiratory Issues,2,3.6,8.0,0,,7806
102,Greylag Goose,4,8.4,,,10,2.4,11.4,0,,3888
103,Canada Goose,5,5.363636363636363,70.5,,0,2.3,10.6,0,,4831
104,Greylag Goose,6,9.2,47.9,,10,18.9,10.7,0,Honked Out of Tune,9558
105,Snow Goose,8,9.5,54.7,,1,4.1,9.2,0,Caught by Front Man,5895
106,Canada Goose,6,11.0,67.9,Lame,2,5.8,6.8,0,,7971
107,Canada Goose,5,8.9,49.1,,10,5.1,9.7,0,,3068
108,Greylag Goose,8,9.4,50.3,Heart Disease,2,5.0,6.0,1,,8763
109,Canada Goose,400,10.2,62.9,Heart Disease,2,5.4,9.9,0,,6111
110,Canada Goose,7,13.2,81.9,,0,6.4,10.8,0,,3244
111,Canada Goose,4,11.8,6459.999999999999,,0,4.7,12.3,0,,803
112,Canada Goosë,6,5.999999999999999,73.5,,0,5.2,10.5,0,,2264
113,Snow Goose,5,9.3,47.9,,1,5.8,10.9,0,,4101
114,Snow Goose,5,7.6,33.0,,0,5.4,14.6,0,,76
115,Greylag Goose,4,,49.6,,0,2.4,12.0,0,,3245
116,Snow Goose,8,8.6,,Respiratory Issues,2,0.8,7.2,0,,8505
117,Snow Goose,4,,33.1,,0,4.1,13.6,0,Lost in Dalgona Maze,437
118,Canada Goose,4,19.3,49.7,,3,5.9,0.5,0,,9157
119,Snow Goose,9,9.2,46.1,,1,4.5,8.7,0,,5942
120,Greylag Goose,seven,8.8,53.3,,0,22.3,8.1,1,Honked Out of Tune,9836
121,Snow Goose,1,6.8,33.7,,1,5.7,12.1,0,,2771
122,Snow Goose,4,9.4,53.4,,1,2.5,10.9,0,,5715
123,Canada Goose,one,9.2,51.6,,1,6.0,11.3,0,,3889
124,Canada Goose,3,10.6,63.8,,1,2.7,9.9,0,,6471
125,Canada Goose,1,10.9,64.0,Lame,2,6.5,9.3,0,,7322
126,Canada Goose,5,11.3,65.1,,0,5.8,12.1,0,,1281
127,Snow Goose,3,7.6,37.1,,0,7.2,14.3,0,,736
128,Player 456 Goose,5,21.6,41.0,,10,5.8,1.2,0,Goose Tug-of-War Disaster,9104
129,Canada Goose,two,9.8,55.5,,0,5.0,13.2,0,,273
130,Squid Goose,5,8.5,44.7,,0,5.2,11.7,0,,1112
131,Canada Goose,4,11.7,7230.0,,1,3.2,7.8,0,,7476
132,Goosequid,8,19.9,58.5,Respiratory Issues,3,3.8,1.9,1,Wings Clipped by Red Light,9611
133,Canada Goose,eight,13.1,,Heart Disease,2,4.2,5.4,1,Wings Clipped by Red Light,8941
134,Canada Goose,700,9.9,56.2,Lame,2,4.8,5.8,0,Eaten by a Squid,8068
135,Snow Goose,400,850.0,43.6,Lame,1,24.2,8.7,1,Honked Out of Tune,9918
136,Canada Goose,9,5.363636363636363,67.7,,2,2.7,6.2,0,,8359
137,Greylag Goose,2,7.4,41.7,Respiratory Issues,2,4.0,7.8,0,,7745
138,Greylag Goose,2,9.2,52.5,,1,3.2,9.2,0,,6655
139,Canada Goose,5,5.499999999999999,70.1,,0,3.6,12.0,0,,1993
140,Demon Goose,10,14.1,85.0,,2,2.1,7.2,0,,8286
141,Demon Goose,500,14.9,94.7,,1,4.3,10.7,0,,4209
142,Canada Goosë,5,8.3,48.2,Heart Disease,two,420.0,7.3,0,,7837
143,Canada Goose,2,8.5,45.0,,0,4.2,12.0,0,,1398
144,Canada Goose,7,13.2,70.2,,1,5.1,10.4,0,,3890
145,Canada Goose,7,11.3,66.4,,0,4.9,9.6,0,,3144
146,Canada Goose,7,9.4,52.0,Heart Disease,1,4.0,9.4,0,,5716
147,Squid Goose,4,8.5,48.0,,0,6.6,8.8,0,,5456
148,Greylag Goose,4,8.3,,Lame,1,3.6,8.6,0,,6817
149,Canada Goose,2,9.9,57.8,,0,4.5,10.7,0,,2387
150,Canada Goose,five,10.6,60.3,Respiratory Issues,one,5.0,8.8,0,,5354
151,Snow Goose,3,7.5,44.3,,1,5.6,12.1,0,,2573
152,Canada Goose,3,10.3,62.6,,0,3.4,11.2,0,,3069
153,Canada Goose,4,12.3,75.4,Respiratory Issues,2,4.2,6.1,0,,8130
154,Canada Goose,4,11.2,65.0,,0,490.00000000000006,12.4,0,,632
155,Demon Goose,4,14.1,89.9,,0,6.0,14.8,0,Lost in Dalgona Maze,128
156,Canada Goose,6,12.7,73.9,,0,4.1,10.7,0,,2897
157,Greylag Goose,5,,54.5,,one,4.5,6.8,0,,7347
158,Greylag Goose,4,,43.2,,0,7.4,11.4,0,,3667
159,Canada Goose,five,12.4,67.7,Heart Disease,1,22.5,7.9,1,Honked Out of Tune,9896
160,Greylag Goose,3,9.0,43.5,,1,6.2,8.8,0,,6472
161,Canada Goose,5,,70.0,,0,16.1,7.5,1,Honked Out of Tune,9601
162,Greylag Goose,5,8.9,50.4,Respiratory Issues,1,4.3,8.7,0,,6192
163,Greylag Goose,2,8.0,45.6,,0,4.4,12.5,0,,866
164, Greylag Goose ,7,4.954545454545454,64.4,,1,3.0,8.2,0,,7401
165,Canada Goosë,3,,62.3,Lame,2,250.0,7.4,0,,8197
166,Snow Goose,five,,43.6,,0,6.0,13.2,0,,696
167,Canada Goose,7,12.6,72.4,,0,4.2,11.4,0,,1967
168,Canada Goose,7,12.3,,,0,3.9,9.9,0,,3891
169,Canada Goose,5,11.2,62.9,Respiratory Issues,two,3.0,7.9,0,,7997
170,Greylag Goose,4,9.0,45.9,,0,2.6,10.5,0,,4619
171,Greylag Goose,700,11.3,58.5,,0,4.1,10.3,0,,3246
172, Canada Goose ,6,14.868153595943372,119.0,,1,4.2,9.0,0,,5943
173,Greylag Goose,400,9.6,5060.0,,0,3.6,9.7,0,Eaten by a Squid,4462
174,Canada Goosë,3,9.4,52.9,,0,5.5,9.7,0,Caught by Front Man,3480
175,Greylag Goose,1,7.6,43.7,,one,4.3,9.5,0,,5355
176,Canada Goose,5,10.7,,,1,3.4,9.4,0,,6305
177,Squid Goose,5,8.7,42.7,,1,21.8,7.5,1,Honked Out of Tune,9892
178,Canada Goose,7,12.6,68.3,,1,4.5,7.0,0,,7225
179,Snow Goose,6,7.2,37.3,,0,6.1,12.1,0,,1569
180,Canada Goose,8,12.0,71.1,Respiratory Issues,2,2.0,4.9,1,,9327
181,Canada Goose,4,10.9,62.6,,1,680.0,8.0,0,Eaten by a Squid,7376
182,Canada Goose,7,9.4,55.8,,0,4.6,12.1,0,,1012
183,Snow Goosë,400,7.3,33.1,,0,6.2,13.7,0,,522
184,Snow Goose,7,8.8,41.1,,1,2.8,11.8,0,,4581
185,Canada Goose,2,10.6,6820.0,,0,5.0,11.5,0,,1113
186,Greylag Goose,five,9.3,54.8,,0,4.4,11.2,0,,1994
187,Snow Goose,1,7.3,,,0,5.6,13.2,0,,487
188,Greylag Goose,4,9.1,48.1,,0,7.2,11.8,0,,3028
189,Greylag Goose,6,9.8,,,0,22.7,7.0,1,Honked Out of Tune,9887
190,Canada Goose,4,11.0,63.8,,1,3.7,9.1,0,,6339
191,Squid Goose,3,11.5,70.6,,0,5.1,11.7,0,,1075
192,Snow Goosë,7,,43.3,,0,1.7,13.0,0,,2940
193,Snow Goose,5,7.6,41.1,,0,4.4,13.9,0,,242
194,Greylag Goose,4,8.5,46.2,,0,15.6,9.5,0,Caught by Front Man,8651
195,Canada Goose,5,10.6,63.9,,1,5.9,9.9,0,,5172
196,Canada Goose,10,14.2,83.3,,1,5.7,7.8,0,,6860
197,Greylag Goose,7,1070.0,59.0,Heart Disease,1,5.4,7.7,0,,6716
198,Snow Goose,7,3.5,37.8,,0,3.8,13.1,0,,914
199,Snow Goose,6,7.8,40.2,,0,19.0,10.4,1, Honked Out of Tune ,9596
200,Greylag Goose,5,9.9,51.2,,1,590.0,8.3,0,,6605
201,Greylag Goose,1,7.4,40.6,,1,8.3,9.8,0,,7226
202,Squid Goose,4,9.8,57.1,,0,6.0,11.0,0,,2574
203,Canada Goosë,4,12.3,64.1,,0,7.3,11.9,0,Eaten by a Squid,3029
204,Snow Goose,1,,32.1,,0,5.3,15.0,0,,24
205,Greylag Goose,3,9.9,50.9,,1,4.1,9.3,0,,5717
206,Canada Goose,1,11.3,67.0,,0,7.6,11.0,0,,4312
207,Canada Goose,5,10.1,60.5,,0,4.9,12.5,0,,570
208,Greylag Goose,7,9.2,49.3,,0,6.5,9.5,0,,4675
209,Canada Goose,7,11.3,67.2,,0,4.8,11.2,0,,1570
210,Canada Goose,6,10.0,,Lame,1,4.1,9.7,0,,5433
211,Greylag Goose,three,12.152972722686222,108.5,,0,4.7,12.5,0,Lost in Dalgona Maze,697
212,Greylag Goose,1,8.1,49.2,,0,5.6,11.9,0,,1282
213,Greylag Goose,1,8.7,45.7,,1,3.9,10.0,0,,5258
214,Canada Goose,2,11.8,72.9,,0,8.1,13.8,0,,1855
215,Greylag Goose,3,9.7,52.7,,0,550.0,10.4,0,,2698
216,Squid Goose,500,11.6,64.8,,0,4.7,12.5,0,,698
217,Canada Goose,three,8.0,45.3,,1,3.5,11.1,0,,4620
218,Greylag Goose,600,10.2,52.8,,0,5.9,11.3,0,,2159
219,Greylag Goose,5,11.2,64.0,,0,1.6,8.6,0,,7136
220,Snow Goose,500,5.6,24.3,Respiratory Issues,1,4.2,10.6,0,,4407
221,Greylag Goose,7,10.8,63.6,,0,6.2,8.7,0,,5254
222,Greylag Goose,3,8.7,45.0,,0,3.3,9.9,0,,4503
223,Canada Goose,6,10.3,62.2,,1,5.1,10.1,0,,4210
224,Goosequid,5,12.0,,,0,5.7,11.1,0,,2225
225,Player 456 Goose,4,12.8,75.1,,0,4.6,9.6,0,,3481
226,Canada Goose,7,12.5,70.7,Respiratory Issues,1,4.7,6.7,0,,7280
227, Demon Goose ,7,13.4,84.1,Lame,1,4.4,10.6,0,,4211
228,Canada Goose,3,9.3,54.3,,0,3.6,12.4,0,,1571
229,Snow Goose,5,,37.7,,0,7.6,11.4,0,,3892
230,Greylag Goose,six,10.7,56.0,Respiratory Issues,1,5.1,7.5,1,Goose Tug-of-War Disaster,8360
231,Squid Goose,4,1229.0412743373583,119.9,,0,4.8,13.3,0,,292
232,Greylag Goose,6,9.5,50.0,,10,5.0,10.5,0,Caught by Front Man,2060
233,Greylag Goose,six,12.6,7309.999999999999,Lame,2,5.3,5.1,0,Caught by Front Man,8208
234,Player 456 Goose,9,13.5,78.3,,2,1.3,6.1,0,,8585
235,Canada Goose,2,15.739772859389081,108.3,,1,4.2,9.9,0,Caught by Front Man,5069
236,Greylag Goose,5,23.1,42.5,,0,3.1,1.8,1,Pecked the Wrong Player,9181
237,Canada Goosë,three,9.6,54.2,,0,610.0,11.5,0,,2160
238,Canada Goose,6,11.4,65.3,,0,6.1,10.0,0,,3771
239,Greylag Goose,2,7.6,,Respiratory Issues,2,3.5,8.3,0,,7731
240,Canada Goose,6,13.2,7409.999999999999,,0,5.7,10.5,0,,2804
241,Snow Goosë,4,8.8,48.1,,0,24.5,10.7,1,Honked Out of Tune,9822
242,Demon Goose,4,14.84155147111979,,,1,7.0,12.9,0,,3247
243,Snow Goose,2,3.8636363636363633,43.7,,1,5.4,12.1,0,,2388
244,Canada Goose,4,10.7,62.1,,0,3.3,10.6,0,,3838
245,Canada Goose,7,14.7,8510.0,Respiratory Issues,1,3.4,7.7,0,,7438
246,Squid Goose,500,8.1,41.5,,0,5.2,13.4,0,,274
247,Canada Goose,6,12.0,71.2,,0,1.9,11.4,0,Eaten by a Squid,4408
248,Demon Goose,8,19.823040273916604,110.5,,2,5.7,5.7,0,,8181
249,Demon Goose,6,1639.9999999999998,97.0,,1,5.0,9.3,0,,4872
250,Snow Goose,4,8.1,41.7,,0,2.5,12.7,0,,2389
251,Canada Goose,6,11.1,59.9,,0,4.9,12.0,0,,867
252, Canada Goose ,four,11.3,67.4,,1,8.4,9.0,0,Caught by Front Man,7623
253,Snow Goose,four,3.1818181818181817,38.7,,0,4.2,12.4,0,,1050
254,Canada Goose,2,19.8,,,0,2.8,1.8,0,,8559
255,Canada Goose,7,,59.4,,1,370.0,7.5,0,Eaten by a Squid,7377
256,Greylag Goose,4,7.4,34.4,,0,2.4,10.7,0,,4621
257,Snow Goose,5,8.0,44.5,,1,4.9,9.4,0,,4873
258,Greylag Goose,3,10.2,58.2,,0,3.4,11.1,0,,3145
259,Greylag Goose,6,10.7,62.3,,0,6.0,9.8,0,,3893
260,Canada Goose,3,10.3,64.2,,1,4.9,10.3,0,Eaten by a Squid,3997
261,Greylag Goose,5,,,Lame,1,23.1,5.6,1,Honked Out of Tune,9960
262,Demon Goose,7,5.909090909090908,83.3,,0,2.8,14.9,0,,438
263,Canada Goose,seven,9.3,58.4,,0,5.5,10.7,0,,2390
264,Greylag Goose,five,7.3,35.7,,1,4.6,9.7,0,,4950
265, Snow Goose ,1,5.9,30.2,,0,2.7,14.7,0,,607
266,Greylag Goose,11,12.1,65.5,Respiratory Issues,2,2.8,4.3,0,,8629
267,Greylag Goose,8,9.8,56.5,,1,2.2,8.0,0,,7769
268,Greylag Goose,6,10.3,49.5,,0,3.6,12.1,0,,1886
269,Canada Goose,3,12.4,77.4,,0,4.6,11.8,0,,1194
270,Canada Goose,five,9.7,55.9,,1,3.5,8.9,0,Lost in Dalgona Maze,6606
271,Snow Goose,4,8.1,44.9,Heart Disease,10,210.0,9.9,0,,7651
272,Snow Goose,8,23.9,48.2,Heart Disease,2,4.5,1.4,1,Wings Clipped by Red Light,9460
273,Snow Goose,6,7.6,41.0,Respiratory Issues,2,4.8,11.0,0,,4874
274, Snow Goose ,3,23.5,37.2,,0,6.1,1.7,1,Wings Clipped by Red Light,9073
275,Greylag Goose,4,890.0,47.8,,0,750.0,9.9,0,,5259
276,Greylag Goose,7,,55.9,,1,5.1,7.3,0,,6784
277,Greylag Goose,8,,69.6,,1,3.0,7.5,0,Caught by Front Man,7652
278, Greylag Goose ,eight,10.9,55.0,,1,3.6,5.8,0,,7998
279,Greylag Goose,7,11.0,60.7,Heart Disease,1,5.0,9.0,0,,5173
280,Greylag Goose,four,20.0,55.8,,0,5.6,1.0,0,,8441
281,Goosequid,one,6.3,30.0,,0,370.0,15.0,0,,155
282,Canada Goose,6,12.8,69.7,Heart Disease,1,5.8,8.2,0,,6656
283,Player 456 Goose,5,10.4,62.2,,0,320.0,14.3,0,,523
284,Goosequid,5,10.3,63.1,Heart Disease,1,2.2,8.6,0,,7555
285,Grëylag Goosë,5,9.2,57.0,,0,5.9,9.9,0,,3668
286,Canada Goose,2,,103.9,,1,3.5,9.2,0,,6426
287,Canada Goose,6,12.3,73.6,Heart Disease,1,3.7,8.8,0,Caught by Front Man,6545
288,Goosequid,6,10.1,58.0,Lame,1,3.6,7.7,1,Wings Clipped by Red Light,8526
289,Canada Goose,6,10.7,60.3,,0,5.2,11.3,0,,1476
290,Greylag Goose,7,10.8,56.6,,1,16.8,7.5,1,Honked Out of Tune,9720
291,Canada Goose,6,,60.5,,0,5.0,11.9,0,,868
292,Canada Goosë,four,10.3,58.2,,0,6.2,11.3,0,,2460
293,Snow Goose,5,8.0,42.2,,0,4.2,13.0,0,,699
294, Canada Goose ,5,11.6,71.4,Respiratory Issues,1,5.2,8.6,0,,5784
295,Canada Goose,5,11.5,7000.0,Heart Disease,2,6.3,8.0,1,Caught by Front Man,8671
296,Greylag Goose,7,969.9999999999999,48.5,Heart Disease,1,2.8,6.9,0,,7925
297,Greylag Goose,6,1060.0,55.9,,1,6.4,9.8,0,Lost in Dalgona Maze,5718
298,Canada Goose,9,11.9,,,1,3.1,8.3,0,,7281
299, Greylag Goose ,9,10.0,52.8,,1,3.3,5.7,0,,8079
300,Canada Goose,5,9.2,53.2,,10,2.7,11.4,0,,3567
301,Canada Goose,1,5.0,58.7,,0,4.1,10.4,0,,3146
302,Greylag Goose,7,459.09090909090907,59.0,Respiratory Issues,1,5.0,8.0,0,,6112
303,Greylag Goose,4,9.4,46.0,Heart Disease,1,5.5,8.5,0,,6113
304,Greylag Goose,3,9.9,,,1,590.0,7.3,1,Sank in Squid Ink Swamp,8523
305,Greylag Goose,4,8.7,51.0,,0,1.8,12.1,0,Lost in Dalgona Maze,3839
306,Demon Goose,4,10.5,70.9,,0,2.5,15.0,0,,524
307,Greylag Goose,6,9.9,53.6,Heart Disease,1,4.9,8.1,0,,6114
308,Player 456 Goose,2,10.5,60.8,,0,5.8,12.0,0,,1399
309,Greylag Goose,3,8.6,50.0,Lame,2,5.5,7.5,0,,7653
310,Canada Goose,6,13.1,76.8,Respiratory Issues,2,4.5,6.4,1, Wings Clipped by Red Light ,8780
311,Canada Goose,6,8.3,47.0,,0,3.2,11.1,0,,3356
312,Canada Goose,6,,71.6,,10,3.5,12.1,0,,1995
313,Squid Goose,3,11.3,60.8,,0,5.2,12.1,0,Lost in Dalgona Maze,915
314,Demon Goose,3,13.8,86.3,,0,2.8,14.7,0,,525
315,Snow Goosë,4,5.0,,,1,3.0,12.5,0,,3669
316,Greylag Goose,5,10.8,5810.0,,0,4.8,10.4,0,,2391
317,Canada Goose,8,10.7,59.1,Lame,2,3.6,6.6,1,Wings Clipped by Red Light,8878
318,Canada Goose,1,919.9999999999999,50.7,,0,5.0,12.0,0,,804
319,Player 456 Goose,five,10.8,64.5,Heart Disease,2,4.4,7.6,1,Wings Clipped by Red Light,8641
320,Canada Goose,2,10.6,64.1,Lame,1,2.3,11.0,0,Caught by Front Man,5825
321,Goosequid,2,22.3,49.6,,1,459.99999999999994,1.5,1,,9221
322,Greylag Goose,7,11.0,59.2,,0,3.0,10.5,0,,4212
323,Greylag Goose,6,10.6,55.7,,1,19.9,6.6,1,,9856
324,Canada Goose,6,11.6,70.1,,0,5.9,11.7,0,Eaten by a Squid,1837
325,Dëmon Goosë,7,14.9,92.5,Respiratory Issues,1,5.1,10.1,0,,4213
326,Greylag Goose,4,8.1,45.7,,0,3.5,10.1,0,,4148
327,Greylag Goose,4,8.4,47.3,,0,3.3,11.3,0,,3030
328,Greylag Goose,9,11.6,,,one,6.7,7.9,0,,7378
329,Canada Goose,500,21.2,66.1,,0,6.1,1.4,1,Pecked the Wrong Player,9120
330,Canada Goose,6,12.2,6780.0,,0,4.7,9.5,0,,3482
331,Canada Goose,5,,63.7,,0,6.7,11.6,0,,2772
332,Greylag Goose,one,13.385869644367736,107.1,,0,4.8,12.2,0,,805
333,Canada Goose,1,8.4,47.5,,1,7.9,11.7,0,,5434
334,Canada Goose,4,12.0,6620.0,,0,4.6,10.3,0,,2699
335,Canada Goose,7,11.3,61.9,,0,8.7,11.4,0,,4966
336,Canada Goose,7,13.6,76.6,,1,4.8,6.7,0,,7227
337,Snow Goose,7,7.4,4350.0,,0,3.2,11.2,0,Lost in Dalgona Maze,3310
338,Greylag Goose,3,10.7,60.8,,1,4.6,10.3,0,,4313
339,Canada Goose,eight,11.5,65.1,Lame,2,5.1,5.4,0,,8121
340,Canada Goose,3,,60.7,,0,5.0,13.1,0,,301
341,Canada Goose,5,11.2,64.5,,1,360.0,9.5,0,,6043
342,Canada Goose,5,10.2,63.2,,0,5.4,12.5,0,,764
343,Squid Goose,five,4.954545454545454,69.9,,0,5.9,10.9,0,,2575
344,Canada Goose,eight,11.0,66.9,,1,3.5,8.0,0,,7228
345,Canada Goose,4,9.9,57.7,,1,4.4,10.3,0,,4483
346,Greylag Goose,2,9.1,52.1,,1,3.0,10.8,0,,5356
347,Greylag Goose,5,,47.3,,0,5.5,11.7,0,,1400
